level	rank	word	coverage_perc	coverage_perc_str
Advanced	12702	きむら	99.35992017578312	99.36%
Advanced	12715	王女	99.35992017578312	99.36%
Advanced	12728	預かる	99.35992017578312	99.36%
Advanced	12741	トゥーン	99.35992017578312	99.36%
Advanced	12754	檻	99.35992017578312	99.36%
Advanced	12767	フーフー	99.35992017578312	99.36%
Advanced	12780	ばと	99.35992017578312	99.36%
Advanced	12793	布製	99.35992017578312	99.36%
Advanced	12806	奥歯	99.35992017578312	99.36%
Advanced	12819	肋骨	99.35992017578312	99.36%
Advanced	12832	虫採り	99.35992017578312	99.36%
Advanced	12845	耳元	99.35992017578312	99.36%
Advanced	12858	しゅっしゅっ	99.35992017578312	99.36%
Advanced	12871	乃井	99.35992017578312	99.36%
Advanced	12884	発する	99.35992017578312	99.36%
Advanced	12897	VISA	99.35992017578312	99.36%
Advanced	12910	abcdefgh	99.35992017578312	99.36%
Advanced	12923	Apple	99.35992017578312	99.36%
Advanced	12936	くるくるっ	99.35992017578312	99.36%
Advanced	12949	ぱらぱら	99.35992017578312	99.36%
Advanced	12962	キャンピング	99.35992017578312	99.36%
Advanced	12975	SoftBank	99.35992017578312	99.36%
Advanced	12988	カーリー	99.35992017578312	99.36%
Advanced	13001	唄う	99.35992017578312	99.36%
Advanced	13014	拾い	99.35992017578312	99.36%
Advanced	13027	きな粉	99.35992017578312	99.36%
Advanced	13040	今さっき	99.35992017578312	99.36%
Advanced	13053	古本	99.35992017578312	99.36%
Advanced	13066	ディマーライト	99.35992017578312	99.36%
Advanced	13079	大門	99.35992017578312	99.36%
Advanced	13092	sekainoowari	99.35992017578312	99.36%
Advanced	13105	ドリブル	99.35992017578312	99.36%
Advanced	13118	食あたり	99.35992017578312	99.36%
Advanced	13131	プラム	99.35992017578312	99.36%
Advanced	13144	ばーん	99.35992017578312	99.36%
Advanced	13157	チャジャンミョン	99.35992017578312	99.36%
Advanced	13170	975	99.35992017578312	99.36%
Advanced	13183	ぽつぽつ	99.35992017578312	99.36%
Advanced	13196	缶から	99.35992017578312	99.36%
Advanced	13209	ボワーン	99.35992017578312	99.36%
Advanced	13222	アウト	99.35992017578312	99.36%
Advanced	13235	後ろ足	99.35992017578312	99.36%
Advanced	13248	山猫	99.35992017578312	99.36%
