video	level	wpm	sps	mean_sentence_length	average_rel_reps	ne_spot	tfp_log_ranks_unique	adv_props	det_props	noun_props	sconj_props	wa_props	gai_props	kan_props	aux_props	num_props	pron_props	verb_props
442	Complete Beginner	54.435831180017225	1.7111685328739592	5.878787878787879	0.0138888888888888	1074	3.339996006995226	0.0221518987341772	0.0158227848101265	0.2341772151898734	0.0189873417721519	0.8920634920634921	0.0	0.1015873015873015	0.2183544303797468	0.0031645569620253	0.0854430379746835	0.0791139240506329
443	Complete Beginner	42.274412855377015	1.6275236918005769	4.851063829787234	0.0123456790123456	10107	3.464327418736213	0.023391812865497	0.0116959064327485	0.2514619883040935	0.0116959064327485	0.8928571428571429	0.0416666666666666	0.0416666666666666	0.2573099415204678	0.0116959064327485	0.023391812865497	0.1286549707602339
444	Beginner	98.59534243652443	3.256969738914403	10.48	0.0078125	4608	4.189195394267889	0.0292134831460674	0.0	0.2	0.049438202247191	0.7614678899082569	0.0321100917431192	0.1651376146788991	0.2022471910112359	0.0269662921348314	0.0314606741573033	0.1348314606741573
445	Intermediate	127.0063004247802	4.220001710522578	12.185714285714283	0.002127659574468	3853	5.187385805840755	0.0603389830508474	0.0030508474576271	0.1915254237288135	0.0620338983050847	0.8235893949694085	0.0210740992522093	0.1298436437797416	0.211864406779661	0.0077966101694915	0.0227118644067796	0.107457627118644
446	Advanced	146.15460656385923	4.938546197442994	17.71276595744681	0.0023923444976076	3318	4.923617305492665	0.078418002045687	0.0088646437095124	0.1725196045005114	0.0685305148312308	0.825728987993139	0.01852487135506	0.1283018867924528	0.1864984657347425	0.0051142175247187	0.0231844527787248	0.1176270030685305
447	Complete Beginner	64.61723552040469	2.24728535865762	8.146666666666667	0.0097087378640776	4546	3.760117278237314	0.0192678227360308	0.0231213872832369	0.2466281310211946	0.0366088631984585	0.8732943469785575	0.0760233918128654	0.0487329434697855	0.1965317919075144	0.0231213872832369	0.0443159922928709	0.1117533718689788
448	Intermediate	141.28728414442654	4.668800587167919	23.74074074074074	0.0024330900243309	4341	5.040054491599385	0.0408340573414422	0.0169417897480451	0.23501303214596	0.0903562119895742	0.8187056737588653	0.0372340425531914	0.1272163120567375	0.1264118158123371	0.0234578627280625	0.0186794092093831	0.128149435273675
449	Beginner	94.97343254899708	3.1196929065207706	12.561797752808989	0.0052356020942408	4041	4.806061872393046	0.0180722891566265	0.0060240963855421	0.2269076305220883	0.0421686746987951	0.8094262295081968	0.0112704918032786	0.1188524590163934	0.1947791164658634	0.0251004016064257	0.0321285140562249	0.1024096385542168
450	Advanced	151.53822889185776	4.841163434980036	16.794285714285714	0.0008058017727639	9611	6.143648576991073	0.0272879392457201	0.0074655682842064	0.2150855966018792	0.0808340841807182	0.8543103448275862	0.0040640394088669	0.1161330049261083	0.1450637147638048	0.012742952760973	0.0275453726348307	0.1675891363109795
451	Beginner	121.85256667066967	3.8718641481064178	14.169014084507042	0.0048543689320388	6164	4.515944300614658	0.0159635119726339	0.0216647662485746	0.2736602052451539	0.0421892816419612	0.766743648960739	0.0346420323325635	0.1789838337182448	0.1744583808437856	0.0068415051311288	0.0273660205245153	0.1288483466362599
452	Beginner	93.53926072493113	3.073523570323602	9.830508474576272	0.0068493150684931	4050	4.097873853769208	0.0183673469387755	0.0183673469387755	0.2551020408163265	0.0326530612244898	0.8877338877338877	0.0249480249480249	0.0727650727650727	0.1755102040816326	0.0204081632653061	0.0428571428571428	0.1326530612244898
453	Intermediate	154.0362272067133	5.052343876069078	16.473988439306357	0.0013315579227696	7082	5.680172609017068	0.0492679066086268	0.0073209339137316	0.1952908587257617	0.0876533438860308	0.8384831460674157	0.0252808988764044	0.1031300160513643	0.1664028492283339	0.0073209339137316	0.0257222002374356	0.1084289671547289
454	Intermediate	149.77319587628867	4.76426116838488	21.041666666666668	0.0029761904761904	7701	4.86365840382159	0.0441988950276243	0.0154696132596685	0.2414364640883977	0.0906077348066298	0.8778153153153153	0.0084459459459459	0.0855855855855855	0.1198895027624309	0.0138121546961325	0.0248618784530386	0.1386740331491712
455	Intermediate	153.56419495452047	5.053598772388678	20.51578947368421	0.0034965034965034	7086	4.686718511791269	0.0370584829183555	0.0144759698899826	0.2165605095541401	0.0851187029530978	0.8633177570093458	0.0449766355140186	0.0619158878504672	0.1436016213086277	0.0040532715691951	0.0225825130283729	0.1493920092646207
456	Intermediate	121.09863080909552	4.0378346833219165	16.972477064220183	0.0028169014084507	7089	4.950526682183941	0.0408899579073962	0.0090198436560432	0.2104630186410102	0.0865904990980156	0.8124246079613993	0.04583835946924	0.1254523522316043	0.1731809981960312	0.0120264582080577	0.021046301864101	0.142513529765484
457	Advanced	186.8945102260495	5.920344456404736	16.643312101910826	0.0016447368421052	5874	5.42491120287933	0.0505116481602438	0.0152405834966253	0.1641628565207925	0.0862181580666231	0.8930610452349583	0.0138339920948616	0.0660957400087834	0.1900718484650555	0.0063139560200304	0.0224254300021772	0.1369475288482473
458	Intermediate	99.71526074072004	3.3923412224517127	13.4	0.0044642857142857	6386	4.875168186520977	0.0225933202357563	0.0137524557956778	0.2239685658153241	0.0903732809430255	0.8246816846229187	0.0626836434867776	0.0793339862879529	0.1277013752455795	0.0029469548133595	0.0500982318271119	0.1660117878192534
459	Beginner	95.9608629603858	3.337932762582832	11.819277108433734	0.0051020408163265	5696	4.403651724116299	0.03886925795053	0.0070671378091872	0.2261484098939929	0.055359246171967	0.8164481525625745	0.0631704410011919	0.0858164481525625	0.1943462897526501	0.0153121319199057	0.022379269729093	0.1389870435806831
460	Beginner	97.27495663954936	3.325639543232457	9.454545454545457	0.0055555555555555	7647	4.412743635159019	0.0527065527065527	0.0071225071225071	0.2336182336182336	0.0527065527065527	0.8550932568149211	0.0344332855093256	0.0989956958393113	0.1638176638176638	0.017094017094017	0.0313390313390313	0.1495726495726495
461	Complete Beginner	66.67502542121967	2.4827468482374537	5.036697247706422	0.0091743119266055	8544	3.86872705900789	0.0210772833723653	0.0023419203747072	0.2622950819672131	0.0538641686182669	0.9369158878504672	0.0350467289719626	0.0210280373831775	0.1873536299765808	0.0	0.0398126463700234	0.1451990632318501
462	Complete Beginner	82.46699145138791	2.5672543594264665	7.605633802816901	0.0067567567567567	6645	4.430816798843313	0.0088105726872246	0.0044052863436123	0.2224669603524229	0.0506607929515418	0.929054054054054	0.0123873873873873	0.0518018018018018	0.1795154185022026	0.0231277533039647	0.0539647577092511	0.1409691629955947
