video	level	teacher	wpm
407	Complete Beginner	Yuki先生	94.27896238466059
408	Intermediate	Yuki先生	132.41732647587793
409	Complete Beginner	Yuki先生	104.77011018867654
410	Beginner	Yuki先生	111.52473013077258
411	Intermediate	Yuki先生	134.742289111189
412	Complete Beginner	Yuki先生	73.68117305184273
413	Beginner	Yuki先生	90.03616286907001
414	Intermediate	Yuki先生	117.59386345090343
415	Complete Beginner	Yuki先生	84.60780044607388
416	Beginner	Yuki先生	105.33848664598477
417	Intermediate	Yuki先生	129.59441199049786
418	Complete Beginner	Yuki先生	94.1938629831496
419	Beginner	Yuki先生	96.96174988767756
420	Complete Beginner	Yuki先生	84.79703360146083
421	Beginner	Yuki先生	114.36395002462456
422	Intermediate	Yuki先生	136.0132790188516
423	Beginner	Chieko先生	103.34029232460634
424	Intermediate	Yuki先生	136.96275940768925
425	Advanced	Yuki先生	162.4765912680602
426	Complete Beginner	Yuki先生	95.55019881952722
427	Complete Beginner	Yuki先生	85.9830808530185
428	Intermediate	Momo先生	117.67552356202035
429	Advanced	Yuki先生	167.49760467862356
430	Beginner	Yuki先生	102.43203868679531
431	Beginner	Chieko先生	109.40658485603339
432	Beginner	Momo先生	80.14241701646843
433	Intermediate	Yuki先生	135.84485934947313
434	Complete Beginner	Yuki先生	91.57747202215799
435	Complete Beginner	Yuki先生	82.7502517765389
436	Beginner	Yuki先生	120.37468365363947
437	Advanced	Yuki先生	171.75437881604276
438	Beginner	Chieko先生	120.75588059235128
439	Complete Beginner	Yuki先生	93.1050562520457
440	Beginner	Yuki先生	102.01754021574754
441	Intermediate	Yuki先生	135.96584448695452
442	Complete Beginner	Meika先生	54.435831180017225
443	Complete Beginner	Meika先生	42.274412855377015
444	Beginner	Yoshito先生	98.59534243652443
445	Intermediate	Yuki先生	127.00630042478019
446	Advanced	Yuki先生	146.15460656385923
447	Complete Beginner	Momo先生	64.61723552040469
448	Intermediate	Chieko先生	141.28728414442654
449	Beginner	Momo先生	94.97343254899707
450	Advanced	Yuki先生	151.53822889185776
451	Beginner	Meika先生	121.85256667066967
452	Beginner	Yoshito先生	93.53926072493111
453	Intermediate	Chieko先生	154.0362272067133
454	Intermediate	Chieko先生	149.77319587628867
455	Intermediate	Chieko先生	153.56419495452047
456	Intermediate	Yoshito先生	121.09863080909551
457	Advanced	Yuki先生	186.8945102260495
458	Intermediate	Momo先生	99.71526074072004
459	Beginner	Meika先生	95.9608629603858
460	Beginner	Yuki先生	97.27495663954937
461	Complete Beginner	Yuki先生	66.67502542121967
462	Complete Beginner	Yuki先生	82.46699145138791
463	Intermediate	Meika先生	123.75825886767817
464	Advanced	Yuki先生	150.77431998261923
465	Intermediate	Yoshito先生	130.90451220689323
466	Intermediate	Chieko先生	113.11919857021635
467	Intermediate	Yuki先生	144.39377383885417
468	Beginner	Yoshito先生	102.65414454879541
469	Beginner	Chieko先生	118.46093399191737
470	Intermediate	Momo先生	133.99463223560133
471	Complete Beginner	Meika先生	57.7541252946639
472	Beginner	Yoshito先生	75.02399907331123
473	Beginner	Chieko先生	80.54060456194334
474	Intermediate	Yuki先生	146.39904240462837
475	Beginner	Momo先生	92.0482178039613
476	Advanced	Momo先生	163.62899959497776
477	Beginner	Meika先生	80.19460138104206
478	Advanced	Yuki先生	169.64339771144884
479	Complete Beginner	Yoshito先生	36.245948870961065
480	Beginner	Chieko先生	88.55046090416297
481	Intermediate	Yoshito先生	117.8369089036147
482	Intermediate	Meika先生	105.15519199366973
483	Advanced	Yuki先生	149.81352287745256
484	Complete Beginner	Chieko先生	70.17956999362744
485	Intermediate	Meika先生	111.17289060874062
486	Complete Beginner	Momo先生	82.64359442868407
487	Complete Beginner	Yuki先生	83.01098436251291
488	Beginner	Yuki先生	107.09142800700758
489	Beginner	Chieko先生	80.61304973625153
490	Beginner	Meika先生	81.3936248470025
491	Intermediate	Yoshito先生	111.6908117246298
492	Advanced	Yuki先生	147.33018106331448
493	Intermediate	Chieko先生	126.40295303977246
494	Intermediate	Momo先生	130.09830550341448
495	Intermediate	Chieko先生	131.51797996663547
496	Advanced	Yuki先生	173.59898396570884
497	Complete Beginner	Yoshito先生	93.15207553093006
498	Intermediate	Yuki先生	135.58791188385092
499	Beginner	Yuki先生	103.19759669558233
500	Complete Beginner	Yuki先生	93.51107064355745
501	Advanced	Yuki先生	145.04778593641115
502	Complete Beginner	Yuki先生	77.0113353882569
503	Beginner	Yuki先生	96.6006243883581
504	Beginner	Momo先生	91.74906917421072
505	Intermediate	Meika先生	113.18016928657799
506	Beginner	Yoshito先生	83.05043218538566
507	Complete Beginner	Yuki先生	84.71059642781954
508	Complete Beginner	Yuki先生	81.81436867358799
509	Advanced	Yuki先生	158.90058820281814
510	Advanced	Yuki先生	147.40704590837953
511	Beginner	Yoshito先生	76.39157986542865
512	Intermediate	Chieko先生	135.811456187524
513	Intermediate	Chieko先生	137.00291120484522
514	Intermediate	Yuki先生	136.45971512392614
515	Beginner	Yuki先生	99.10715343807357
516	Complete Beginner	Momo先生	72.22815030339615
517	Advanced	Yuki先生	150.77582346380916
518	Beginner	Yuki先生	102.56217928996828
519	Complete Beginner	Meika先生	47.95590261828204
520	Beginner	Meika先生	104.49950809956124
521	Intermediate	Yoshito先生	116.5995730133483
522	Complete Beginner	Yuki先生	72.2352155469945
523	Beginner	Yuki先生	115.08589371740987
524	Advanced	Yuki先生	152.75332705823922
525	Beginner	Yuki先生	99.40253418952082
526	Intermediate	Momo先生	108.99368458188005
527	Intermediate	Meika先生	115.01137698481728
528	Intermediate	Chieko先生	141.10873254316724
529	Beginner	Yuki先生	104.63452599264293
530	Complete Beginner	Yuki先生	76.72619979033627
531	Intermediate	Yoshito先生	125.12699067257167
532	Advanced	Momo先生	160.4575805078856
533	Beginner	Yuki先生	102.86889934684685
534	Complete Beginner	Yuki先生	83.54151985537376
535	Complete Beginner	Meika先生	68.30384180064848
536	Intermediate	Yuki先生	141.347821061149
537	Intermediate	Yuki先生	133.4844559585492
538	Intermediate	Yoshito先生	115.81282775312627
539	Beginner	Meika先生	108.56323898244355
540	Beginner	Chieko先生	76.97538546261116
541	Complete Beginner	Momo先生	72.31370543494182
542	Intermediate	Yoshito先生	125.98565729020835
543	Complete Beginner	Yuki先生	77.82552213450585
544	Beginner	Chieko先生	96.91331923890064
545	Beginner	Yuki先生	96.98056801195816
546	Intermediate	Chieko先生	146.1164594139095
547	Beginner	Meika先生	130.56379821958456
548	Advanced	Yuki先生	147.15803071623367
549	Intermediate	Meika先生	128.7286061995983
550	Intermediate	Yoshito先生	122.68949886678418
551	Intermediate	Chieko先生	179.32267909296755
552	Advanced	Yuki先生	192.90247998778545
553	Intermediate	Momo先生	141.30702836004932
554	Beginner	Momo先生	65.38725150140989
555	Complete Beginner	Meika先生	69.45623204435387
556	Beginner	Yoshito先生	93.29293879589181
557	Complete Beginner	Momo先生	78.47072688354558
558	Advanced	Yuki先生	172.08934927808664
559	Beginner	Yuki先生	100.87079944759859
560	Complete Beginner	Yoshito先生	82.68327077382902
561	Beginner	Yuki先生	99.4154403552385
562	Intermediate	Meika先生	114.0633685380767
